Data Nascimento,Sexo,Raça,Estrangeiro,Nacionalidade,Naturalidade,UF Naturalidade,Período,Situação atual,Data ocorrência,Estrutura,Período ingresso,Tipo ingresso,IMI,Coeficiente,Tipo de demanda,rga_anonimo
1999-05-07,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,BARRA DO GARCAS,MT,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20191,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),7.6,2.01,"L10 - Candidato com deficiência com renda igual ou inferior 1,5 salário mínimo e estudante preto pardo ou indígena de esc. pública",831543462a4124725660009f53f1f799d98def84fca94c495260f28599bcc597
1999-11-12,Masculino,Negra,Não,BRASILEIRO,ARAGARCAS,GO,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20221,INGRESSO POR PROCESSO SELETIVO ESPECÍFICO,0.0,0.09,Ampla Concorrência,f4c3a7a4c03b68b001e18dec4efb40db9d42756e68796f2b1bc4d54b64b1d3ac
1983-05-21,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,GOIAS,GO,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20211,INGRESSO POR PROCESSO SELETIVO ESPECÍFICO,85.3,7.18,Ampla Concorrência,d4656bf92bb45421a714d66e1ef6f4b9110b8ae78e49db3c6d79ba4109b4d6cc
2005-01-15,Feminino,Branca,Não,BRASILEIRO,Bilac,SP,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20231,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),30.5,3.42,Ampla Concorrência,3925dddcdce6a8ed0358ac233c155d7a1d065b41764e6c525324bde27d7978dc
1999-12-06,Masculino,Branca,Não,BRASILEIRO,NOVA XAVANTINA,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20181,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),63.7,6.67,Ampla Concorrência,f3e0f56e5c35e53dc1469c240a5d6a5c626aa06ef200ac0992f5677ba7842d88
1999-01-31,Masculino,Branca,Não,BRASILEIRO,SAO PAULO,SP,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20221,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),0.0,0.0,Ampla Concorrência,a1a5f3e3573ba49707514965597af7997863362e90456c135cebb1eef7c024e3
2003-05-16,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,MATEUS LEME,MG,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20211,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),0.0,0.35,"L2 - Renda igual ou inferior 1,5 salário mínimo e estudante preto pardo ou indígena de esc. pública",a9304f50b609232d4e438abc441c768feecc8aec6d3102c3512c3cc4af943203
2003-11-01,Masculino,"Pardo(a),Mulato(a)",Não,BRASILEIRO,MATRINCHA,GO,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20221,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),0.0,0.0,"L2 - Renda igual ou inferior 1,5 salário mínimo e estudante preto pardo ou indígena de esc. pública",c097a49d48f73785a588623432039f9999c0cd82042bf45751c1b6c748fec27a
1995-07-21,Masculino,Branca,Não,BRASILEIRO,BARRA DO GARCAS,MT,20232,AFASTAMENTO POR BLOQUEIO DE MATRICULA,2024-01-09,20191,20191,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),0.0,0.23,Ampla Concorrência,bace8fe095ce1f703bc928f0f949e4ef8d913a4130ad04600baa8e102ab47599
2000-09-15,Feminino,Branca,Não,BRASILEIRO,CUIABA,MT,20232,MATRICULADO NO PERÍODO,2023-11-16,20191,20231,INGRESSO POR PROCESSO SELETIVO ENEM (SISU),22.9,3.09,Ampla Concorrência,0fdadaab3d280931457dffd30004568f3c37e7b91822615aa2f4b73c5e50a427
